source,operator,round,machine,barrel,bullet,land
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 1
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 2
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 3 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 3
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 4 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 4
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 5 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 5
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 6 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 3 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 2/Variability - Round 4 - Barrel Orange - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 2,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 3 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 4 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 3/Variability - Round 4 - Barrel Orange - Bullet 3 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 3,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 3 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 4 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 5 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 1/Variability - Round 4 - Barrel Pink - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 1,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 2 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 3 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 5 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 2/Variability - Round 4 - Barrel Pink - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 2,Land 6
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 1
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 2 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 2
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 3 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 3
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 4 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 4
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 5 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 5
/media/Raven/Variability//Mark/Round 4/Sneox2/Pink/Bullet 3/Variability - Round 4 - Barrel Pink - Bullet 3 - Land 6 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Pink,Bullet 3,Land 6
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 1
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 2
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 3
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 4
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 5
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 1/Variability - Round 2 - Barrel Blue - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 1,Land 6
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 1
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 2
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 3
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 4
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 5
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 2/Variability - Round 2 - Barrel Blue - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 2,Land 6
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 1
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 2
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 3
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 4
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 5
/media/Raven/Variability//Mark/Round 2/Sneox1/Green/Bullet 3/Variability - Round 2 - Barrel Blue - Bullet 3 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 2,Sneox1,Barrel Blue,Bullet 3,Land 6
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 1
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 2- Sneox2 - 20x - auto light left image +20% x10- threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 2
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 3- Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 3
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 4- Sneox2 - 20x - auto light left image +20% x10- threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 4
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 5- Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 5
/media/Raven/Variability//Samantha/Round 3/Sneox2/Orange/Bullet 1/Variability - Round 3- Barrel Orange- Bullet 3- Land 6- Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,Samantha,Round 3,Sneox2,Barrel Orange,Bullet 3,Land 6
